name,comments,labels,pull_request,state,reactions,user,author_association
Only configure smtp_settings if provided on configuration,0,actionmailer-railties,no,open,0,andrehjr,CONTRIBUTOR
SMTP Connection Error,10,actionmailer,no,open,0,hoffdog,NONE
field_error_proc does not trigger on belongs_to association without explicit validation on <association>_id,2,activerecord-With reproduction steps,no,open,0,guaguasi,NONE
Configured email interceptors not accessible from the config hash,6,actionmailer-With reproduction steps,no,open,0,matteo-rossi-wise,NONE
Update ActionText install generator output messages colors,0,railties-actiontext,no,open,0,abhaynikam,CONTRIBUTOR
Explicitly list negative currency format,1,activesupport,no,open,0,frenkel,CONTRIBUTOR
Rails 7: issues reloading a class that uses delegate_missing_to and references other class,1,null,no,open,0,machty,CONTRIBUTOR
Avoid booting in development then test for test tasks,1,actionmailer-actionpack-railties-actioncable-actionmailbox,no,open,0,etiennebarrie,CONTRIBUTOR
Fix Time::Value serialization,0,activerecord-activesupport,no,open,0,chrisortman,NONE
Update default puma to reflect separate RACK_ENV and support debugging,2,railties,no,open,0,justin808,CONTRIBUTOR
Pysch 4 support with secrets is not available in the latest 6.1.4 release,6,null,no,open,0,CamilleDrapier,NONE
Extend audio_tag and video_tag to accept Active Storage attachments,1,actionmailer-activerecord-activesupport-actionview-activestorage,no,open,0,MatheusRich,CONTRIBUTOR
Associated new records are validated even if :autosave and :validate are false,2,activerecord-With reproduction steps,no,open,0,niklas-hasselmeyer,NONE
Fix #43978 migrations on multidb,5,activerecord,no,open,0,codeodor,CONTRIBUTOR
Migration names should use autoloader inflections,16,null,no,open,0,jaredbeck,CONTRIBUTOR
Use same default host name in ActionController::Renderer as Integration::Session,5,actionpack,no,open,0,dmolesUC,NONE
ActiveSupport::XmlMini cannot use the JDOM backend for JRuby 9.3.x.x,1,null,no,open,0,andreimaxim,NONE
Request tests and ApplicationController use different default hostnames,3,actionpack-attached PR,no,open,0,dmolesUC,NONE
Problem trying to upgrade Rails application to 6.1.4.1 and autoloading with zeitwerk,13,null,no,open,0,mroguzman,NONE
ActiveRecord ignores attribute serializer if serialized value responds to `id`,5,activerecord,no,open,0,mihaic195,CONTRIBUTOR
changed example cookie rotator to be in after_initialize block,0,docs,no,open,0,ryanhertz,NONE
Warning on converting the old remote:true delete  links to Rails 7,0,null,no,open,0,salex,NONE
